Spout_wait,Spliters,Counters,Throughput+,Latency-
1,1,1,8006.2,419.16
1,1,2,10818.0,316.58
1,1,3,11601.0,286.42
1,1,4,11537.0,292.69
1,1,5,12999.0,237.04
1,1,6,12285.0,288.02
1,1,7,12032.0,275.01
1,1,8,13630.0,228.6
1,1,9,12168.0,268.84
1,1,10,13055.0,247.74
1,1,11,14500.0,229.24
1,1,12,12239.0,263.31
1,1,13,12596.0,260.77
1,1,14,15891.0,198.18
1,1,15,13164.0,244.6
1,1,16,12781.0,250.88
1,1,17,16487.0,191.92
1,1,18,12962.0,253.55
1,2,1,8587.7,377.76
1,2,2,11514.0,283.68
1,2,3,12493.0,261.6
1,2,4,14253.0,247.47
1,2,5,14658.0,247.88
1,2,6,14244.0,240.76
1,2,7,15192.0,214.55
1,2,8,16267.0,241.35
1,2,9,15377.0,217.16
1,2,10,16738.0,221.13
1,2,11,16819.0,213.84
1,2,12,15830.0,208.02
1,2,13,16286.0,186.2
1,2,14,17417.0,206.11
1,2,15,16529.0,206.59
1,2,16,18331.0,198.49
1,2,17,18839.0,193.46
1,2,18,15819.0,197.37
1,3,1,7905.6,416.37
1,3,2,11995.0,284.51
1,3,3,13484.0,246.75
1,3,4,14334.0,248.43
1,3,5,14845.0,232.94
1,3,6,14644.0,240.27
1,3,7,16029.0,254.05
1,3,8,16550.0,225.83
1,3,9,17202.0,205.13
1,3,10,17784.0,189.72
1,3,11,17484.0,196.27
1,3,12,18268.0,200.34
1,3,13,18222.0,199.7
1,3,14,17396.0,220.63
1,3,15,19206.0,177.95
1,3,16,18801.0,194.37
1,3,17,19818.0,185.14
1,3,18,18647.0,209.34
1,4,1,8297.3,386.33
1,4,2,11975.0,282.78
1,4,3,13958.0,241.05
1,4,4,14204.0,250.52
1,4,5,15173.0,254.59
1,4,6,15596.0,221.13
1,4,7,15648.0,228.73
1,4,8,16533.0,212.25
1,4,9,15607.0,205.96
1,4,10,17669.0,197.21
1,4,11,17728.0,204.74
1,4,12,18493.0,194.98
1,4,13,18710.0,179.83
1,4,14,17538.0,188.25
1,4,15,18404.0,192.67
1,4,16,17685.0,211.49
1,4,17,19895.0,181.35
1,4,18,18807.0,189.21
1,5,1,8381.5,402.22
1,5,2,11395.0,285.58
1,5,3,13665.0,247.65
1,5,4,14629.0,253.32
1,5,5,14958.0,230.14
1,5,6,15394.0,224.92
1,5,7,15979.0,201.95
1,5,8,15568.0,227.4
1,5,9,17086.0,205.78
1,5,10,18338.0,207.11
1,5,11,17640.0,200.79
1,5,12,18590.0,193.02
1,5,13,18384.0,230.66
1,5,14,17701.0,193.79
1,5,15,19350.0,217.33
1,5,16,19524.0,195.03
1,5,17,20391.0,176.12
1,5,18,19409.0,194.12
1,6,1,8439.5,391.66
1,6,2,11370.0,282.9
1,6,3,13978.0,239.83
1,6,4,14036.0,236.23
1,6,5,14816.0,248.53
1,6,6,15571.0,221.22
1,6,7,14952.0,211.67
1,6,8,16616.0,217.77
1,6,9,17646.0,210.41
1,6,10,18354.0,189.74
1,6,11,18004.0,219.26
1,6,12,18961.0,176.39
1,6,13,17982.0,185.49
1,6,14,18238.0,206.1
1,6,15,19629.0,189.2
1,6,16,19256.0,200.02
1,6,17,20024.0,176.57
1,6,18,19152.0,183.64
2,1,1,8337.3,394.28
2,1,2,11726.0,287.88
2,1,3,12804.0,250.71
2,1,4,12507.0,260.97
2,1,5,13998.0,218.03
2,1,6,12043.0,254.55
2,1,7,12766.0,255.09
2,1,8,14679.0,221.0
2,1,9,13015.0,254.37
2,1,10,13940.0,226.85
2,1,11,16112.0,198.53
2,1,12,13566.0,240.13
2,1,13,13554.0,237.44
2,1,14,16567.0,199.75
2,1,15,13883.0,240.04
2,1,16,14072.0,225.86
2,1,17,16256.0,194.45
2,1,18,13858.0,243.6
2,2,1,9093.2,355.89
2,2,2,11914.0,274.71
2,2,3,12954.0,255.64
2,2,4,14545.0,220.19
2,2,5,14916.0,228.45
2,2,6,14743.0,241.03
2,2,7,15682.0,216.74
2,2,8,16853.0,241.67
2,2,9,15583.0,232.8
2,2,10,17373.0,194.83
2,2,11,17310.0,205.18
2,2,12,16945.0,217.96
2,2,13,17908.0,207.82
2,2,14,18040.0,193.07
2,2,15,16557.0,202.01
2,2,16,18510.0,181.3
2,2,17,19269.0,193.05
2,2,18,17493.0,186.91
2,3,1,8506.4,352.62
2,3,2,12453.0,274.3
2,3,3,14913.0,221.1
2,3,4,14668.0,243.64
2,3,5,15768.0,229.09
2,3,6,15960.0,224.49
2,3,7,15743.0,201.25
2,3,8,16592.0,205.46
2,3,9,17332.0,196.91
2,3,10,18007.0,204.66
2,3,11,17883.0,193.69
2,3,12,18862.0,190.63
2,3,13,18608.0,221.8
2,3,14,18380.0,191.8
2,3,15,19434.0,180.54
2,3,16,19199.0,184.12
2,3,17,19203.0,190.63
2,3,18,19432.0,180.34
2,4,1,8602.2,397.62
2,4,2,12513.0,267.68
2,4,3,14814.0,214.45
2,4,4,13608.0,233.05
2,4,5,14505.0,227.55
2,4,6,16542.0,208.06
2,4,7,16129.0,209.67
2,4,8,17221.0,203.77
2,4,9,17995.0,217.53
2,4,10,18969.0,194.84
2,4,11,17455.0,199.5
2,4,12,19018.0,196.45
2,4,13,19090.0,179.29
2,4,14,18913.0,184.11
2,4,15,20094.0,167.28
2,4,16,19321.0,188.85
2,4,17,19333.0,176.63
2,4,18,19208.0,175.4
2,5,1,8853.8,354.76
2,5,2,12244.0,251.8
2,5,3,14911.0,216.68
2,5,4,15386.0,225.32
2,5,5,15624.0,219.74
2,5,6,15345.0,231.34
2,5,7,16456.0,201.11
2,5,8,16596.0,206.31
2,5,9,17453.0,193.94
2,5,10,17943.0,189.89
2,5,11,18073.0,172.4
2,5,12,17881.0,182.27
2,5,13,18751.0,193.39
2,5,14,18567.0,192.2
2,5,15,19421.0,191.47
2,5,16,18652.0,184.15
2,5,17,20209.0,185.56
2,5,18,19959.0,183.08
2,6,1,8800.9,360.35
2,6,2,12617.0,252.95
2,6,3,14421.0,224.68
2,6,4,14834.0,221.29
2,6,5,15850.0,234.81
2,6,6,16530.0,204.54
2,6,7,16515.0,201.3
2,6,8,17343.0,202.27
2,6,9,18191.0,198.56
2,6,10,19480.0,188.78
2,6,11,18076.0,195.47
2,6,12,19354.0,201.68
2,6,13,19893.0,192.96
2,6,14,18865.0,199.41
2,6,15,20164.0,185.57
2,6,16,19422.0,180.35
2,6,17,21842.0,153.76
2,6,18,18139.0,174.71
3,1,1,8220.5,404.54
3,1,2,12297.0,275.28
3,1,3,12566.0,272.99
3,1,4,12158.0,264.35
3,1,5,14633.0,218.59
3,1,6,12046.0,251.15
3,1,7,12308.0,255.93
3,1,8,14672.0,225.94
3,1,9,13297.0,252.01
3,1,10,14066.0,232.12
3,1,11,15143.0,199.7
3,1,12,13273.0,245.45
3,1,13,13984.0,227.01
3,1,14,16371.0,201.8
3,1,15,14704.0,218.17
3,1,16,12693.0,247.98
3,1,17,18214.0,179.54
3,1,18,14088.0,230.73
3,2,1,8807.9,365.54
3,2,2,12331.0,265.24
3,2,3,12472.0,259.6
3,2,4,15170.0,216.28
3,2,5,15828.0,221.2
3,2,6,15182.0,225.96
3,2,7,16035.0,203.96
3,2,8,17097.0,236.21
3,2,9,15911.0,219.19
3,2,10,17240.0,186.49
3,2,11,17616.0,207.75
3,2,12,16383.0,207.91
3,2,13,17653.0,185.06
3,2,14,17518.0,193.89
3,2,15,17707.0,197.79
3,2,16,19593.0,183.14
3,2,17,19555.0,176.29
3,2,18,17926.0,189.41
3,3,1,9017.3,361.64
3,3,2,13119.0,266.57
3,3,3,14959.0,228.82
3,3,4,14548.0,232.12
3,3,5,15029.0,225.43
3,3,6,15827.0,213.03
3,3,7,16580.0,197.74
3,3,8,17085.0,212.64
3,3,9,17656.0,190.21
3,3,10,18421.0,177.34
3,3,11,17772.0,190.27
3,3,12,19040.0,187.35
3,3,13,19845.0,176.05
3,3,14,18144.0,200.7
3,3,15,20971.0,165.65
3,3,16,19103.0,172.01
3,3,17,20360.0,174.83
3,3,18,19775.0,188.06
3,4,1,9137.1,337.37
3,4,2,12591.0,247.43
3,4,3,14792.0,209.99
3,4,4,15613.0,215.8
3,4,5,15856.0,206.58
3,4,6,16214.0,210.27
3,4,7,16355.0,209.23
3,4,8,17333.0,198.12
3,4,9,18002.0,207.85
3,4,10,19287.0,194.14
3,4,11,17715.0,201.36
3,4,12,19536.0,187.32
3,4,13,17653.0,194.27
3,4,14,19116.0,182.39
3,4,15,19353.0,175.48
3,4,16,20035.0,183.51
3,4,17,20636.0,180.59
3,4,18,19784.0,173.4
3,5,1,8928.5,354.78
3,5,2,12773.0,243.79
3,5,3,14910.0,229.53
3,5,4,15312.0,217.38
3,5,5,15810.0,228.3
3,5,6,16402.0,193.27
3,5,7,16846.0,206.99
3,5,8,16913.0,195.85
3,5,9,17888.0,203.63
3,5,10,18636.0,168.4
3,5,11,18177.0,200.89
3,5,12,19548.0,189.32
3,5,13,19162.0,189.93
3,5,14,19311.0,222.4
3,5,15,20593.0,186.5
3,5,16,19967.0,184.23
3,5,17,20674.0,158.35
3,5,18,20683.0,171.45
3,6,1,8326.6,370.78
3,6,2,12603.0,237.77
3,6,3,14618.0,217.07
3,6,4,15466.0,220.31
3,6,5,16059.0,214.64
3,6,6,16526.0,190.44
3,6,7,16084.0,221.76
3,6,8,17687.0,205.63
3,6,9,18400.0,195.01
3,6,10,19187.0,168.97
3,6,11,19227.0,194.02
3,6,12,20070.0,179.05
3,6,13,19814.0,191.11
3,6,14,18948.0,191.5
3,6,15,19391.0,182.76
3,6,16,19563.0,186.97
3,6,17,22060.0,176.14
3,6,18,21262.0,179.24
4,1,1,8823.4,383.41
4,1,2,12185.0,261.68
4,1,3,12938.0,267.28
4,1,4,12029.0,276.04
4,1,5,14879.0,224.85
4,1,6,13797.0,237.17
4,1,7,13781.0,247.06
4,1,8,14252.0,206.88
4,1,9,13562.0,241.96
4,1,10,13889.0,226.81
4,1,11,15581.0,185.58
4,1,12,14072.0,250.76
4,1,13,14385.0,228.0
4,1,14,16755.0,195.36
4,1,15,14354.0,232.15
4,1,16,14891.0,217.78
4,1,17,18081.0,182.57
4,1,18,14346.0,216.52
4,2,1,9228.7,359.3
4,2,2,12491.0,261.6
4,2,3,13479.0,243.11
4,2,4,15091.0,228.56
4,2,5,15360.0,219.72
4,2,6,14720.0,224.19
4,2,7,16783.0,211.13
4,2,8,16881.0,207.97
4,2,9,16004.0,202.22
4,2,10,17799.0,184.34
4,2,11,17917.0,198.19
4,2,12,16121.0,199.59
4,2,13,19047.0,182.28
4,2,14,18417.0,174.34
4,2,15,17926.0,192.56
4,2,16,19167.0,188.14
4,2,17,19510.0,173.89
4,2,18,17820.0,189.06
4,3,1,9356.2,331.87
4,3,2,13013.0,257.58
4,3,3,14984.0,212.78
4,3,4,14536.0,225.14
4,3,5,15654.0,220.2
4,3,6,16283.0,215.49
4,3,7,16810.0,198.19
4,3,8,16950.0,224.92
4,3,9,18216.0,178.78
4,3,10,18983.0,190.41
4,3,11,18561.0,201.79
4,3,12,18441.0,187.9
4,3,13,19103.0,192.35
4,3,14,18268.0,196.77
4,3,15,20030.0,199.68
4,3,16,19030.0,205.3
4,3,17,21605.0,160.5
4,3,18,20182.0,170.91
4,4,1,9527.2,357.96
4,4,2,12203.0,248.93
4,4,3,15042.0,210.11
4,4,4,15290.0,222.45
4,4,5,16262.0,206.77
4,4,6,16210.0,213.07
4,4,7,16742.0,210.53
4,4,8,17659.0,184.96
4,4,9,17973.0,201.85
4,4,10,19050.0,173.08
4,4,11,19209.0,184.26
4,4,12,19112.0,192.52
4,4,13,20134.0,170.21
4,4,14,18605.0,180.45
4,4,15,20582.0,177.56
4,4,16,20060.0,174.71
4,4,17,21687.0,164.28
4,4,18,20710.0,177.62
4,5,1,9560.1,368.29
4,5,2,12668.0,251.24
4,5,3,15110.0,230.85
4,5,4,15404.0,222.95
4,5,5,15577.0,216.81
4,5,6,16918.0,209.14
4,5,7,16961.0,206.56
4,5,8,17204.0,204.36
4,5,9,17479.0,195.46
4,5,10,18873.0,189.94
4,5,11,18227.0,191.82
4,5,12,19633.0,177.95
4,5,13,19578.0,194.42
4,5,14,19639.0,204.91
4,5,15,20916.0,204.49
4,5,16,18676.0,189.39
4,5,17,21488.0,169.08
4,5,18,20166.0,155.54
4,6,1,9039.4,344.91
4,6,2,12779.0,242.99
4,6,3,15333.0,212.5
4,6,4,15648.0,212.93
4,6,5,15741.0,223.32
4,6,6,16253.0,216.46
4,6,7,16851.0,214.25
4,6,8,17559.0,213.37
4,6,9,18203.0,187.03
4,6,10,19479.0,177.6
4,6,11,18891.0,183.68
4,6,12,19705.0,174.85
4,6,13,19942.0,196.24
4,6,14,20253.0,184.74
4,6,15,20591.0,173.86
4,6,16,20451.0,171.79
4,6,17,21629.0,162.25
4,6,18,21759.0,174.67
5,1,1,8785.9,362.94
5,1,2,12419.0,249.4
5,1,3,13658.0,241.24
5,1,4,12359.0,260.07
5,1,5,14485.0,215.06
5,1,6,13256.0,243.86
5,1,7,13024.0,249.22
5,1,8,15183.0,200.64
5,1,9,14224.0,227.65
5,1,10,14443.0,230.79
5,1,11,16926.0,198.63
5,1,12,14978.0,228.83
5,1,13,14360.0,239.35
5,1,14,16427.0,198.4
5,1,15,14763.0,208.71
5,1,16,14622.0,220.23
5,1,17,17414.0,189.04
5,1,18,14336.0,224.22
5,2,1,9314.4,359.04
5,2,2,13222.0,259.18
5,2,3,13744.0,249.61
5,2,4,14860.0,224.41
5,2,5,15612.0,217.24
5,2,6,14275.0,224.04
5,2,7,16747.0,198.78
5,2,8,16081.0,223.09
5,2,9,16802.0,216.0
5,2,10,18282.0,181.31
5,2,11,17492.0,212.48
5,2,12,17249.0,191.29
5,2,13,19214.0,170.21
5,2,14,18624.0,191.35
5,2,15,17585.0,194.87
5,2,16,19702.0,185.05
5,2,17,19847.0,170.76
5,2,18,17639.0,179.81
5,3,1,9461.5,349.23
5,3,2,12760.0,243.76
5,3,3,15168.0,222.38
5,3,4,15676.0,226.06
5,3,5,16101.0,221.88
5,3,6,16482.0,209.67
5,3,7,16631.0,207.19
5,3,8,17673.0,205.44
5,3,9,18218.0,184.29
5,3,10,18616.0,190.96
5,3,11,18113.0,200.19
5,3,12,19289.0,176.63
5,3,13,18910.0,201.25
5,3,14,18353.0,203.26
5,3,15,20419.0,169.51
5,3,16,19893.0,175.26
5,3,17,22391.0,168.34
5,3,18,19428.0,178.11
5,4,1,9285.2,331.36
5,4,2,12743.0,251.42
5,4,3,15186.0,203.89
5,4,4,15607.0,224.25
5,4,5,15775.0,205.4
5,4,6,16490.0,203.5
5,4,7,17128.0,209.43
5,4,8,17993.0,197.27
5,4,9,18056.0,176.21
5,4,10,18996.0,175.97
5,4,11,18231.0,196.1
5,4,12,19001.0,176.54
5,4,13,19623.0,186.37
5,4,14,19247.0,189.93
5,4,15,20414.0,183.81
5,4,16,19379.0,179.67
5,4,17,21595.0,165.35
5,4,18,21155.0,175.06
5,5,1,9270.5,338.59
5,5,2,12719.0,245.87
5,5,3,15595.0,212.96
5,5,4,15676.0,206.94
5,5,5,16032.0,205.54
5,5,6,16195.0,195.66
5,5,7,17570.0,193.77
5,5,8,17449.0,189.07
5,5,9,18204.0,188.49
5,5,10,20077.0,177.23
5,5,11,19349.0,194.77
5,5,12,19529.0,169.53
5,5,13,20216.0,185.46
5,5,14,19144.0,192.49
5,5,15,20974.0,175.37
5,5,16,19334.0,173.59
5,5,17,22298.0,166.1
5,5,18,21489.0,165.71
5,6,1,9361.5,336.16
5,6,2,12995.0,249.77
5,6,3,15180.0,200.2
5,6,4,16099.0,204.13
5,6,5,16610.0,217.29
5,6,6,16554.0,201.82
5,6,7,17031.0,197.09
5,6,8,17760.0,190.93
5,6,9,18926.0,185.28
5,6,10,20159.0,172.33
5,6,11,19565.0,178.14
5,6,12,20435.0,185.76
5,6,13,19954.0,193.66
5,6,14,19500.0,186.76
5,6,15,20572.0,179.37
5,6,16,19756.0,220.6
5,6,17,21412.0,188.77
5,6,18,21822.0,176.48
6,1,1,9179.4,350.32
6,1,2,11633.0,273.81
6,1,3,13805.0,248.23
6,1,4,12759.0,258.19
6,1,5,14072.0,222.17
6,1,6,12687.0,245.38
6,1,7,13847.0,242.95
6,1,8,15459.0,211.54
6,1,9,14161.0,238.75
6,1,10,13771.0,231.09
6,1,11,15407.0,209.92
6,1,12,13749.0,224.36
6,1,13,14391.0,220.76
6,1,14,16840.0,189.32
6,1,15,15014.0,207.14
6,1,16,14237.0,236.34
6,1,17,17818.0,176.92
6,1,18,14273.0,230.71
6,2,1,9114.0,348.7
6,2,2,12414.0,260.98
6,2,3,13566.0,246.83
6,2,4,15164.0,226.93
6,2,5,15739.0,220.35
6,2,6,14991.0,214.92
6,2,7,16818.0,222.3
6,2,8,17107.0,213.73
6,2,9,16277.0,212.64
6,2,10,18559.0,178.78
6,2,11,17694.0,187.47
6,2,12,16895.0,181.01
6,2,13,19408.0,170.62
6,2,14,18113.0,183.38
6,2,15,18242.0,192.63
6,2,16,19615.0,168.46
6,2,17,20425.0,167.99
6,2,18,17707.0,202.68
6,3,1,9943.0,345.64
6,3,2,12609.0,275.32
6,3,3,14404.0,224.17
6,3,4,15492.0,220.87
6,3,5,16033.0,225.89
6,3,6,16480.0,214.24
6,3,7,17164.0,200.03
6,3,8,17696.0,206.15
6,3,9,18325.0,199.12
6,3,10,18746.0,192.25
6,3,11,18655.0,175.34
6,3,12,19373.0,171.58
6,3,13,19780.0,173.96
6,3,14,19247.0,178.88
6,3,15,19994.0,159.31
6,3,16,19435.0,217.76
6,3,17,20371.0,173.53
6,3,18,20402.0,185.48
6,4,1,8935.8,332.06
6,4,2,12985.0,247.85
6,4,3,14833.0,225.02
6,4,4,15740.0,221.27
6,4,5,16512.0,218.93
6,4,6,16674.0,191.74
6,4,7,16280.0,197.91
6,4,8,16981.0,207.94
6,4,9,18031.0,196.48
6,4,10,19286.0,163.71
6,4,11,18674.0,187.41
6,4,12,19414.0,179.52
6,4,13,19498.0,179.64
6,4,14,18883.0,171.99
6,4,15,20326.0,176.34
6,4,16,20350.0,184.46
6,4,17,21302.0,170.52
6,4,18,20106.0,174.8
6,5,1,9999.3,336.43
6,5,2,13709.0,241.27
6,5,3,15659.0,207.25
6,5,4,15472.0,217.54
6,5,5,15831.0,223.23
6,5,6,15530.0,209.63
6,5,7,17520.0,215.87
6,5,8,17245.0,204.39
6,5,9,18479.0,189.62
6,5,10,20095.0,176.3
6,5,11,19788.0,174.54
6,5,12,19148.0,171.1
6,5,13,19531.0,173.48
6,5,14,19236.0,206.19
6,5,15,21082.0,177.91
6,5,16,19668.0,167.11
6,5,17,21433.0,167.49
6,5,18,21684.0,175.82
6,6,1,9523.8,341.67
6,6,2,13653.0,232.69
6,6,3,15529.0,218.6
6,6,4,15688.0,209.71
6,6,5,16197.0,223.22
6,6,6,16882.0,195.61
6,6,7,17261.0,201.94
6,6,8,17602.0,202.18
6,6,9,17727.0,182.72
6,6,10,19108.0,179.76
6,6,11,19495.0,190.78
6,6,12,20038.0,168.69
6,6,13,19892.0,178.59
6,6,14,20259.0,188.99
6,6,15,21412.0,169.27
6,6,16,21221.0,171.2
6,6,17,22255.0,185.37
6,6,18,20909.0,165.71
7,1,1,8941.5,376.93
7,1,2,12715.0,254.45
7,1,3,13816.0,251.82
7,1,4,12233.0,269.46
7,1,5,13982.0,226.03
7,1,6,13429.0,243.7
7,1,7,13422.0,250.23
7,1,8,15818.0,197.06
7,1,9,14009.0,225.28
7,1,10,14214.0,234.25
7,1,11,17033.0,188.47
7,1,12,13775.0,228.97
7,1,13,14269.0,222.82
7,1,14,17703.0,187.12
7,1,15,13955.0,219.31
7,1,16,14295.0,229.42
7,1,17,19227.0,166.98
7,1,18,14198.0,228.45
7,2,1,9294.6,355.02
7,2,2,12429.0,247.83
7,2,3,14373.0,227.96
7,2,4,15370.0,217.43
7,2,5,14956.0,217.23
7,2,6,15781.0,223.04
7,2,7,16165.0,214.51
7,2,8,17097.0,218.23
7,2,9,16159.0,210.41
7,2,10,18753.0,182.53
7,2,11,18081.0,183.8
7,2,12,17471.0,204.21
7,2,13,19275.0,172.32
7,2,14,17959.0,179.07
7,2,15,18042.0,199.53
7,2,16,20669.0,179.62
7,2,17,20673.0,183.41
7,2,18,17662.0,201.49
7,3,1,9545.5,343.65
7,3,2,12993.0,247.2
7,3,3,15295.0,212.99
7,3,4,15222.0,217.56
7,3,5,16290.0,222.01
7,3,6,16835.0,192.88
7,3,7,17098.0,201.15
7,3,8,17395.0,195.07
7,3,9,18581.0,183.62
7,3,10,18560.0,180.7
7,3,11,18362.0,178.51
7,3,12,19484.0,174.59
7,3,13,19717.0,169.4
7,3,14,18691.0,191.71
7,3,15,20757.0,179.77
7,3,16,20476.0,191.77
7,3,17,22119.0,155.28
7,3,18,21044.0,164.44
7,4,1,9806.9,318.21
7,4,2,13336.0,241.62
7,4,3,15573.0,219.55
7,4,4,16347.0,213.1
7,4,5,16245.0,205.76
7,4,6,17112.0,195.79
7,4,7,16671.0,216.34
7,4,8,17128.0,208.42
7,4,9,17595.0,192.87
7,4,10,19459.0,169.25
7,4,11,19619.0,185.54
7,4,12,19658.0,188.02
7,4,13,20307.0,183.41
7,4,14,19196.0,184.24
7,4,15,20288.0,160.6
7,4,16,19656.0,172.61
7,4,17,21406.0,166.54
7,4,18,21293.0,172.79
7,5,1,9911.0,358.43
7,5,2,13210.0,260.7
7,5,3,15416.0,206.68
7,5,4,15851.0,213.26
